host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating
100%,80%,49.25808,-123.16824,4,1.0,1.0,$131.00,30,57,98.0
100%,100%,49.2719,-123.15043,4,2.0,2.0,$135.00,3,201,92.0
50%,67%,49.27955,-123.11857,4,1.0,2.0,$102.00,30,10,91.0
60%,,49.29103,-123.05782,3,2.0,0.0,$100.00,31,1,100.0
,,49.28375,-123.10383,2,1.0,1.0,$225.00,14,68,98.0
100%,75%,49.26293,-123.17143,7,2.0,4.0,$250.00,2,11,100.0
0%,100%,49.27839,-123.12852,4,1.0,2.0,$99.00,120,52,96.0
50%,67%,49.27263,-123.12074,2,1.0,1.0,$110.00,30,0,
93%,87%,49.28906,-123.12505,6,3.0,3.0,$197.00,90,2,100.0
100%,,49.23273,-123.02747,2,1.0,1.0,$70.00,2,72,99.0
0%,,49.26328,-123.07086,7,3.0,3.0,$100.00,30,6,80.0
100%,0%,49.27608,-123.12452,2,1.0,0.0,$175.00,30,142,98.0
,82%,49.28244,-123.12293,2,1.0,1.0,$168.00,180,71,95.0
100%,,49.27634,-123.11825,2,2.0,1.0,$237.00,30,44,97.0
100%,0%,49.27799,-123.07101,1,1.0,1.0,$48.00,30,57,94.0
100%,100%,49.2332,-123.0551,1,1.0,1.0,$80.00,1,209,94.0
90%,94%,49.28211,-123.10453,4,2.0,2.0,$206.00,3,74,97.0
100%,64%,49.28379,-123.10525,2,1.0,1.0,$137.00,3,51,95.0
100%,96%,49.28063,-123.12502,2,1.0,1.0,$148.00,30,257,98.0
100%,,49.22834,-123.03047,2,1.0,1.0,$85.00,30,44,93.0
100%,,49.23034,-123.02971,2,1.0,1.0,$85.00,30,35,87.0
95%,50%,49.28241,-123.10381,3,1.0,1.0,$347.00,1,137,97.0
72%,32%,49.28052,-123.12691,4,2.0,2.0,$344.00,1,1,80.0
100%,100%,49.28062,-123.11815,4,1.0,3.0,$124.00,31,157,98.0
,,49.25099,-123.07457,8,4.0,5.0,$500.00,5,29,94.0
99%,85%,49.27741,-123.12292,4,1.0,1.0,$299.00,30,3,100.0
90%,8%,49.25555,-123.11523,4,2.0,2.0,$90.00,2,31,93.0
100%,56%,49.25759,-123.06393,6,3.0,3.0,$425.00,1,33,97.0
100%,60%,49.27917,-123.06246,2,1.0,1.0,$80.00,30,187,98.0
100%,91%,49.27999,-123.1075,6,3.0,2.0,$550.00,2,41,99.0
,100%,49.26775,-123.06862,2,1.0,1.0,$82.00,30,57,97.0
100%,100%,49.29178,-123.14175,4,2.0,3.0,$130.00,30,59,95.0
,,49.2506,-123.07175,1,1.0,1.0,$77.00,30,22,95.0
,,49.24413,-123.11955,2,1.0,1.0,$93.00,31,27,87.0
100%,50%,49.27945,-123.10875,2,1.0,1.0,$97.00,3,157,96.0
100%,78%,49.28104,-123.13621,2,1.0,1.0,$135.00,30,76,95.0
50%,67%,49.284,-123.11571,3,1.0,1.0,$141.00,30,4,85.0
,100%,49.26069,-123.18303,2,1.0,2.0,$150.00,31,11,98.0
100%,100%,49.25996,-123.16653,4,2.0,2.0,$125.00,2,78,97.0
100%,55%,49.24438,-123.04453,2,1.0,1.0,$51.00,5,179,95.0
99%,85%,49.2794,-123.12181,2,,1.0,$199.00,30,4,100.0
99%,85%,49.27918,-123.12187,6,2.0,3.0,$350.00,30,7,91.0
100%,92%,49.26186,-123.17438,2,1.0,1.0,$66.00,30,48,96.0
100%,92%,49.26355,-123.17326,2,1.0,1.0,$47.00,14,62,98.0
100%,92%,49.26213,-123.17482,3,2.0,3.0,$114.00,30,3,100.0
,,49.28087,-123.13525,1,1.0,1.0,$30.00,30,0,
100%,50%,49.27719,-123.13011,2,,1.0,$120.00,90,57,93.0
100%,50%,49.25804,-123.12119,2,1.0,1.0,$75.00,30,22,91.0
100%,100%,49.28618,-123.05403,2,1.0,1.0,$84.00,31,63,93.0
,100%,49.27317,-123.11961,4,1.0,3.0,$125.00,30,3,100.0
100%,100%,49.25785,-123.12199,2,1.0,1.0,$79.00,6,51,90.0
,100%,49.27073,-123.16325,5,2.0,3.0,$275.00,7,32,95.0
100%,0%,49.24803,-123.18517,2,1.0,1.0,$130.00,3,193,99.0
62%,73%,49.27213,-123.0698,3,1.0,1.0,$100.00,3,148,90.0
100%,,49.27805,-123.11794,2,1.0,1.0,$130.00,90,4,90.0
100%,,49.27744,-123.11524,4,,2.0,$499.00,30,10,84.0
,,49.23569,-123.10987,4,2.0,2.0,$219.00,1,7,87.0
85%,78%,49.26648,-123.15939,2,1.0,1.0,$55.00,4,5,100.0
93%,36%,49.27489,-123.12654,2,,1.0,$70.00,30,7,94.0
93%,36%,49.28006,-123.12673,2,,,$61.00,30,1,100.0
93%,36%,49.28837,-123.12766,4,2.0,2.0,$88.00,30,12,92.0
,,49.27804,-123.12531,4,2.0,2.0,$280.00,180,2,80.0
,,49.27828,-123.12671,2,1.0,1.0,$180.00,180,1,100.0
100%,97%,49.25674,-123.0874,2,1.0,1.0,$70.00,2,271,96.0
100%,77%,49.27747,-123.12098,2,,2.0,$60.00,30,98,97.0
100%,77%,49.27703,-123.12692,2,,1.0,$60.00,30,136,95.0
100%,100%,49.27241,-123.06332,2,1.0,1.0,$95.00,2,56,96.0
100%,,49.27613,-123.12389,2,1.0,1.0,$75.00,360,0,
100%,89%,49.28028,-123.10737,8,3.0,4.0,$278.00,29,285,94.0
93%,36%,49.29258,-123.13446,2,1.0,1.0,$55.00,30,11,89.0
67%,75%,49.26008,-123.15989,8,4.0,7.0,$560.00,5,36,97.0
90%,40%,49.28239,-123.13021,2,1.0,1.0,$50.00,30,58,91.0
0%,,49.28119,-123.12033,3,1.0,3.0,$99.00,30,1,
,0%,49.27925,-123.08814,4,2.0,2.0,$105.00,3,261,95.0
,,49.23006,-123.07151,2,1.0,1.0,$55.00,180,91,97.0
100%,100%,49.2726,-123.06988,2,1.0,1.0,$50.00,30,73,94.0
100%,100%,49.26957,-123.04828,2,1.0,1.0,$72.00,2,37,98.0
100%,100%,49.26731,-123.06909,4,2.0,2.0,$149.00,3,193,97.0
,33%,49.27843,-123.12901,2,,1.0,$130.00,90,101,97.0
100%,,49.28361,-123.11536,4,1.0,1.0,$287.00,30,3,100.0
90%,40%,49.27871,-123.11681,2,1.0,1.0,$80.00,180,49,96.0
100%,88%,49.28478,-123.1192,4,1.0,2.0,$120.00,2,432,97.0
,,49.26889,-123.18543,6,3.0,4.0,$184.00,30,38,98.0
93%,36%,49.28279,-123.1222,2,1.0,,$88.00,181,2,86.0
93%,36%,49.27859,-123.11993,2,1.0,1.0,$80.00,90,7,97.0
,100%,49.27627,-123.10013,2,1.0,0.0,$95.00,1,55,94.0
90%,40%,49.28247,-123.13068,2,1.0,1.0,$50.00,30,64,89.0
88%,96%,49.284,-123.11432,2,1.0,1.0,$97.00,30,111,95.0
,,49.25808,-123.07538,4,1.0,2.0,$125.00,4,14,96.0
100%,86%,49.27932,-123.12911,2,1.0,1.0,$106.00,3,104,98.0
100%,100%,49.26026,-123.20135,3,1.0,2.0,$94.00,1,69,95.0
100%,100%,49.23968,-123.16762,3,1.0,2.0,$104.00,31,86,98.0
100%,100%,49.26964,-123.11064,6,2.0,4.0,$450.00,30,8,98.0
100%,78%,49.26732,-123.06827,6,3.0,3.0,$399.00,7,42,97.0
100%,98%,49.26618,-123.09694,4,2.0,2.0,$150.00,2,129,96.0
100%,33%,49.28164,-123.11006,2,1.0,1.0,$79.00,30,14,85.0
93%,36%,49.29014,-123.12716,2,1.0,1.0,$98.00,90,5,96.0
100%,79%,49.24882,-123.09121,2,1.0,0.0,$64.00,3,255,94.0
93%,36%,49.29101,-123.14085,2,,1.0,$56.00,30,8,88.0
100%,75%,49.27383,-123.15362,5,2.0,3.0,$450.00,5,73,98.0
,80%,49.25936,-123.06131,4,,2.0,$155.00,2,136,98.0
100%,93%,49.25259,-123.09292,4,2.0,2.0,$88.00,1,239,93.0
100%,72%,49.27643,-123.12181,2,,2.0,$72.00,30,123,86.0
100%,92%,49.25225,-123.10756,2,1.0,1.0,$75.00,30,131,96.0
100%,100%,49.28167,-123.10984,3,2.0,2.0,$250.00,90,4,100.0
,,49.253,-123.0657,4,1.0,1.0,$125.00,3,61,97.0
100%,33%,49.26548,-123.14579,4,1.0,0.0,$100.00,30,0,
0%,75%,49.22757,-123.10926,3,1.0,1.0,$79.00,1,254,85.0
100%,75%,49.24778,-123.09867,4,2.0,2.0,$140.00,2,260,98.0
,,49.25349,-123.07603,2,1.0,1.0,$100.00,3,101,98.0
100%,100%,49.25986,-123.17281,2,,1.0,$62.00,30,12,96.0
100%,95%,49.2585,-123.11479,5,3.0,3.0,$285.00,2,35,98.0
90%,81%,49.27866,-123.08627,2,1.0,1.0,$125.00,2,242,98.0
93%,36%,49.28216,-123.12438,2,1.0,1.0,$85.00,30,3,93.0
100%,70%,49.27915,-123.10642,2,,1.0,$59.00,30,31,94.0
,,49.26861,-123.06666,2,1.0,1.0,$97.00,31,11,93.0
100%,100%,49.25646,-123.14563,2,1.0,1.0,$70.00,30,1,
100%,100%,49.27774,-123.06582,2,1.0,2.0,$95.00,2,207,95.0
90%,100%,49.28954,-123.13711,4,2.0,2.0,$187.00,30,50,97.0
100%,83%,49.27022,-123.06067,4,3.0,3.0,$116.00,30,7,97.0
100%,89%,49.28474,-123.10712,2,1.0,0.0,$139.00,180,100,95.0
,,49.27336,-123.12771,3,1.0,1.0,$125.00,30,1,100.0
100%,100%,49.22651,-123.14179,4,1.0,2.0,$129.00,2,106,95.0
100%,100%,49.26278,-123.16448,4,2.0,4.0,$110.00,2,258,92.0
100%,100%,49.26263,-123.11627,2,1.0,1.0,$120.00,120,3,100.0
50%,0%,49.28519,-123.09872,2,1.0,1.0,$160.00,30,53,97.0
100%,,49.26057,-123.15881,8,4.0,4.0,$575.00,5,27,98.0
100%,100%,49.26411,-123.06803,6,3.0,3.0,$189.00,30,49,93.0
,100%,49.26715,-123.15325,2,1.0,1.0,$99.00,2,6,93.0
100%,100%,49.2753,-123.14721,4,2.0,2.0,$175.00,30,240,99.0
100%,100%,49.28005,-123.11659,3,1.0,2.0,$110.00,30,128,98.0
,,49.23573,-123.10819,4,2.0,2.0,$219.00,1,7,89.0
88%,96%,49.27393,-123.11599,4,1.0,2.0,$110.00,30,90,90.0
93%,93%,49.24976,-123.03547,1,1.0,1.0,$75.00,31,40,97.0
100%,70%,49.2655,-123.0969,2,1.0,1.0,$112.00,30,33,94.0
93%,93%,49.24958,-123.0359,1,1.0,1.0,$65.00,31,22,96.0
75%,75%,49.26933,-123.16177,2,1.0,1.0,$58.00,31,7,97.0
,,49.25972,-123.14269,4,2.0,2.0,$175.00,7,14,99.0
,,49.26597,-123.15633,2,1.0,1.0,$100.00,30,125,95.0
100%,100%,49.28514,-123.12275,6,2.0,4.0,$300.00,30,36,97.0
100%,0%,49.2773,-123.12294,3,2.0,2.0,$115.00,180,142,99.0
100%,100%,49.26992,-123.18596,4,2.0,3.0,$85.00,28,51,99.0
100%,,49.27942,-123.12219,1,1.0,1.0,$42.00,31,62,95.0
100%,89%,49.22718,-123.0552,1,1.0,1.0,$50.00,30,19,91.0
,100%,49.23792,-123.18224,8,4.0,4.0,$525.00,10,18,100.0
100%,88%,49.27955,-123.12392,4,1.0,2.0,$81.00,30,95,87.0
100%,,49.24285,-123.18636,4,2.0,1.0,$204.00,30,1,80.0
100%,85%,49.239,-123.08606,5,2.0,3.0,$90.00,30,124,93.0
,,49.28298,-123.12339,2,,1.0,$95.00,30,96,97.0
100%,95%,49.25701,-123.09179,4,2.0,4.0,$82.00,2,254,98.0
,,49.23748,-123.08735,3,1.0,2.0,$125.00,30,180,99.0
100%,,49.27449,-123.11679,3,1.0,3.0,$187.00,30,9,93.0
100%,100%,49.25877,-123.08299,2,1.0,1.0,$75.00,30,47,99.0
,100%,49.23772,-123.18216,2,1.0,1.0,$125.00,2,367,99.0
100%,50%,49.25865,-123.12294,2,1.0,1.0,$65.00,30,5,95.0
100%,100%,49.25222,-123.1186,2,1.0,2.0,$112.00,2,533,98.0
90%,96%,49.2883,-123.04216,2,1.0,1.0,$45.00,1,63,91.0
,,49.28545,-123.06435,3,1.0,1.0,$113.00,6,22,97.0
100%,100%,49.28044,-123.12496,4,1.0,1.0,$151.00,1,205,96.0
93%,36%,49.28169,-123.12628,4,2.0,2.0,$74.00,30,16,89.0
100%,63%,49.27512,-123.15131,4,2.0,2.0,$493.00,30,90,99.0
100%,89%,49.22505,-123.05439,1,1.0,1.0,$50.00,30,6,68.0
90%,97%,49.26872,-123.15201,2,1.0,1.0,$70.00,3,227,97.0
100%,100%,49.26536,-123.09943,2,1.0,1.0,$250.00,3,69,99.0
,100%,49.25665,-123.10039,4,2.0,2.0,$199.00,1,148,99.0
100%,,49.27293,-123.12547,4,2.0,3.0,$132.00,90,3,99.0
90%,95%,49.28247,-123.10342,2,,0.0,$161.00,2,297,99.0
86%,85%,49.23857,-123.18641,8,4.0,5.0,$500.00,7,8,95.0
100%,,49.28945,-123.12665,2,2.0,1.0,$150.00,30,0,
100%,97%,49.25819,-123.19988,2,1.0,1.0,$129.00,3,178,98.0
88%,96%,49.27795,-123.11734,2,1.0,1.0,$104.00,30,94,93.0
90%,78%,49.29314,-123.13535,1,1.0,1.0,$61.00,2,342,95.0
,,49.28016,-123.10695,2,,1.0,$140.00,3,102,94.0
,,49.26338,-123.18966,3,2.0,2.0,$225.00,7,6,97.0
93%,36%,49.28884,-123.13288,4,2.0,3.0,$72.00,30,3,100.0
93%,36%,49.28748,-123.1289,2,1.0,1.0,$88.00,30,4,100.0
93%,36%,49.28814,-123.12629,2,1.0,1.0,$88.00,30,2,100.0
100%,100%,49.26229,-123.20888,4,2.0,0.0,$150.00,6,84,96.0
93%,36%,49.2796,-123.12152,2,1.0,1.0,$108.00,32,0,
,,49.26682,-123.15312,3,2.0,2.0,$119.00,4,1,100.0
,50%,49.2669,-123.18107,5,3.0,3.0,$425.00,2,13,100.0
100%,,49.27622,-123.12585,2,1.0,0.0,$110.00,30,1,100.0
93%,87%,49.28363,-123.11777,4,1.0,1.0,$97.00,90,12,90.0
93%,36%,49.27511,-123.12679,2,1.0,1.0,$98.00,31,5,100.0
90%,93%,49.26731,-123.09774,2,1.0,1.0,$149.00,3,78,96.0
100%,33%,49.24187,-123.03668,2,1.0,1.0,$40.00,30,38,93.0
96%,84%,49.2785,-123.05217,2,1.0,1.0,$75.00,2,139,96.0
,,49.26802,-123.07374,6,3.0,3.0,$146.00,2,0,
80%,14%,49.2839,-123.10111,4,2.0,2.0,$289.00,3,28,94.0
100%,80%,49.27914,-123.12016,4,2.0,2.0,$300.00,30,19,99.0
100%,33%,49.24348,-123.03844,2,1.0,1.0,$35.00,7,45,92.0
100%,50%,49.22975,-123.09291,2,,0.0,$86.00,2,31,95.0
100%,100%,49.2498,-123.10378,2,1.0,1.0,$100.00,30,42,97.0
93%,36%,49.28875,-123.12417,2,1.0,1.0,$79.00,30,3,100.0
93%,36%,49.27865,-123.13613,2,1.0,1.0,$65.00,30,9,93.0
93%,36%,49.28886,-123.12616,2,1.0,1.0,$109.00,32,0,
,100%,49.27359,-123.10051,4,2.0,2.0,$150.00,30,5,96.0
93%,36%,49.27515,-123.11625,2,1.0,1.0,$83.00,30,4,90.0
,,49.2782,-123.10575,2,1.0,1.0,$142.00,2,106,98.0
93%,36%,49.28488,-123.11244,2,1.0,1.0,$83.00,30,10,93.0
93%,36%,49.28719,-123.12856,1,,0.0,$63.00,30,2,100.0
,,49.27197,-123.17999,5,3.0,4.0,$457.00,7,5,88.0
93%,36%,49.29225,-123.14202,2,1.0,1.0,$80.00,365,0,
93%,36%,49.29004,-123.12665,2,,1.0,$74.00,30,1,100.0
99%,85%,49.27899,-123.12156,6,2.0,3.0,$499.00,30,2,80.0
99%,85%,49.27861,-123.12323,2,,1.0,$199.00,30,4,95.0
,,49.27963,-123.10874,4,2.0,6.0,$220.00,2,113,97.0
100%,0%,49.28488,-123.02993,2,,1.0,$73.00,4,84,96.0
,,49.28455,-123.14071,2,1.0,1.0,$195.00,3,77,100.0
100%,100%,49.26488,-123.15529,4,2.0,2.0,$222.00,2,76,90.0
,,49.23656,-123.02782,2,1.0,1.0,$94.00,30,0,
,,49.26215,-123.1803,6,4.0,5.0,$560.00,5,5,100.0
,,49.27402,-123.054,5,3.0,4.0,$225.00,3,7,100.0
93%,87%,49.27642,-123.12746,5,2.0,2.0,$115.00,90,4,100.0
100%,100%,49.28374,-123.12267,2,1.0,0.0,$95.00,30,92,93.0
100%,,49.27523,-123.1524,3,2.0,2.0,$188.00,7,10,90.0
100%,,49.23322,-123.02764,2,1.0,1.0,$50.00,4,4,100.0
,89%,49.28365,-123.10431,2,1.0,1.0,$142.00,3,109,96.0
70%,100%,49.26867,-123.16656,6,3.0,3.0,$299.00,1,35,96.0
89%,100%,49.24559,-123.04974,2,1.0,1.0,$40.00,30,22,89.0
73%,25%,49.26665,-123.06936,5,2.0,2.0,$199.00,1,62,92.0
100%,100%,49.26469,-123.14817,4,1.0,0.0,$149.00,2,53,91.0
100%,100%,49.25782,-123.20131,3,1.0,1.0,$102.00,2,62,94.0
100%,100%,49.27928,-123.07949,2,,0.0,$80.00,2,319,97.0
100%,,49.27656,-123.11813,4,2.0,2.0,$466.00,30,12,88.0
100%,99%,49.27198,-123.0681,2,1.0,1.0,$90.00,1,506,98.0
89%,100%,49.24389,-123.0485,3,1.0,2.0,$61.00,30,18,82.0
0%,0%,49.27188,-123.15207,1,1.0,1.0,$275.00,32,0,
93%,36%,49.28709,-123.12764,5,3.0,4.0,$119.00,32,4,100.0
100%,100%,49.27166,-123.06616,4,1.0,2.0,$110.00,3,224,94.0
,,49.27412,-123.07405,2,1.0,1.0,$117.00,3,97,99.0
0%,0%,49.27252,-123.15201,1,1.0,1.0,$100.00,30,28,91.0
100%,46%,49.26013,-123.1891,6,2.0,4.0,$200.00,2,148,93.0
,,49.26268,-123.14881,2,1.0,2.0,$180.00,7,32,88.0
100%,100%,49.2493,-123.10796,6,3.0,4.0,$131.00,3,72,95.0
,0%,49.25725,-123.08369,9,3.0,4.0,$199.00,4,63,97.0
93%,36%,49.28873,-123.12582,2,1.0,1.0,$71.00,31,1,100.0
,50%,49.2357,-123.10428,2,1.0,1.0,$75.00,2,662,98.0
100%,91%,49.26037,-123.10503,1,1.0,1.0,$75.00,3,334,99.0
,,49.25926,-123.18271,4,2.0,3.0,$175.00,30,13,92.0
,0%,49.2649,-123.16641,5,2.0,2.0,$300.00,30,0,
100%,75%,49.28254,-123.1064,2,1.0,1.0,$116.00,30,22,98.0
100%,100%,49.26554,-123.14631,6,3.0,0.0,$202.00,2,41,96.0
,,49.28169,-123.11802,2,1.0,2.0,$98.00,30,214,98.0
100%,100%,49.27607,-123.03497,2,1.0,1.0,$40.00,30,17,89.0
93%,36%,49.29236,-123.13936,2,,1.0,$59.00,30,7,94.0
,,49.26562,-123.16259,2,1.0,1.0,$199.00,30,5,100.0
100%,78%,49.26645,-123.06893,2,,1.0,$109.00,4,264,98.0
100%,83%,49.25972,-123.08497,4,1.0,2.0,$90.00,30,101,98.0
100%,88%,49.25886,-123.10898,4,2.0,3.0,$208.00,2,160,99.0
100%,88%,49.25869,-123.10753,2,1.0,1.0,$199.00,2,36,100.0
100%,,49.27399,-123.12399,2,,1.0,$100.00,30,98,93.0
90%,100%,49.27288,-123.06959,5,1.0,1.0,$115.00,5,80,95.0
100%,21%,49.28063,-123.12652,4,2.0,2.0,$411.00,1,0,
93%,87%,49.27949,-123.10711,5,2.0,2.0,$148.00,30,16,89.0
100%,100%,49.27585,-123.06803,2,1.0,0.0,$137.00,3,76,98.0
100%,,49.22826,-123.03193,2,1.0,1.0,$85.00,30,23,91.0
100%,89%,49.26513,-123.16761,2,1.0,1.0,$63.00,3,150,97.0
,,49.24598,-123.09127,2,1.0,2.0,$180.00,14,13,95.0
100%,95%,49.28109,-123.10671,3,1.0,2.0,$168.00,30,257,98.0
94%,74%,49.28226,-123.12317,2,,1.0,$115.00,30,0,
100%,100%,49.27707,-123.11507,2,,2.0,$200.00,182,21,99.0
100%,63%,49.2669,-123.16656,4,2.0,2.0,$140.00,3,341,97.0
100%,97%,49.27334,-123.12764,2,1.0,1.0,$69.00,2,130,99.0
,,49.25595,-123.07807,5,4.0,3.0,$156.00,5,38,97.0
100%,99%,49.23695,-123.03251,2,1.0,1.0,$43.00,4,237,96.0
,,49.26184,-123.14763,8,3.0,4.0,$495.00,5,13,100.0
100%,100%,49.27351,-123.15035,2,1.0,1.0,$160.00,2,18,98.0
93%,87%,49.27294,-123.12493,5,2.0,3.0,$108.00,30,9,94.0
100%,75%,49.27315,-123.16093,8,4.0,4.0,$500.00,4,32,99.0
,,49.2504,-123.02515,3,1.0,1.0,$69.00,2,48,81.0
67%,0%,49.26595,-123.12975,1,1.0,2.0,$50.00,30,30,94.0
100%,89%,49.26137,-123.16982,4,2.0,2.0,$140.00,30,101,97.0
100%,67%,49.27674,-123.13275,6,3.0,3.0,$300.00,1,203,94.0
100%,60%,49.28318,-123.11256,1,1.0,1.0,$39.00,90,37,93.0
100%,50%,49.25797,-123.10577,2,1.0,1.0,$95.00,7,196,98.0
100%,,49.27688,-123.11947,4,2.0,0.0,$180.00,90,0,
,100%,49.28532,-123.13434,5,1.0,2.0,$156.00,2,116,97.0
100%,100%,49.26424,-123.20055,6,2.0,4.0,$156.00,1,170,95.0
100%,100%,49.27186,-123.10121,2,1.0,1.0,$135.00,30,72,98.0
93%,87%,49.27762,-123.08519,6,3.0,3.0,$108.00,30,4,80.0
,100%,49.26041,-123.09035,2,1.0,1.0,$49.00,2,174,95.0
100%,33%,49.2346,-123.02652,2,1.0,1.0,$100.00,35,14,100.0
100%,75%,49.28901,-123.12785,2,1.0,1.0,$85.00,90,14,97.0
100%,,49.28046,-123.10232,4,2.0,2.0,$330.00,30,89,99.0
100%,92%,49.25107,-123.1025,2,,0.0,$100.00,3,119,93.0
100%,20%,49.26329,-123.18427,8,3.0,3.0,$250.00,31,83,98.0
100%,71%,49.27141,-123.1008,4,2.0,2.0,$187.00,30,4,95.0
93%,93%,49.24808,-123.03588,1,1.0,1.0,$65.00,31,5,96.0
93%,93%,49.24869,-123.03572,1,1.0,1.0,$65.00,31,2,90.0
93%,93%,49.24961,-123.03755,2,2.0,2.0,$130.00,31,8,88.0
100%,20%,49.26149,-123.18459,6,2.0,3.0,$275.00,31,30,99.0
100%,100%,49.27741,-123.12018,2,1.0,1.0,$70.00,60,105,99.0
,100%,49.27444,-123.13221,4,2.0,2.0,$275.00,4,95,99.0
100%,100%,49.25244,-123.0623,2,1.0,1.0,$80.00,30,144,98.0
100%,100%,49.27147,-123.12661,4,2.0,2.0,$325.00,30,16,100.0
,90%,49.27813,-123.09127,2,1.0,1.0,$80.00,3,240,97.0
100%,97%,49.26147,-123.08229,2,1.0,1.0,$75.00,3,348,99.0
100%,100%,49.27315,-123.06846,6,3.0,4.0,$425.00,3,19,97.0
100%,20%,49.26616,-123.12985,2,1.0,1.0,$80.00,3,92,99.0
,100%,49.25192,-123.17032,8,5.0,4.0,$700.00,7,22,96.0
100%,83%,49.27823,-123.12071,2,1.0,1.0,$100.00,6,52,93.0
100%,60%,49.24531,-123.09533,2,1.0,1.0,$70.00,29,26,98.0
86%,50%,49.25965,-123.20512,6,2.0,3.0,$282.00,4,105,98.0
100%,96%,49.27993,-123.1263,2,1.0,2.0,$115.00,30,96,99.0
,,49.28165,-123.12841,2,1.0,1.0,"$2,000.00",2,73,99.0
100%,100%,49.27508,-123.12388,2,1.0,1.0,$135.00,90,12,98.0
100%,86%,49.28045,-123.12457,2,1.0,1.0,$155.00,30,18,96.0
100%,86%,49.28337,-123.11659,2,1.0,0.0,$225.00,30,9,96.0
100%,80%,49.27763,-123.12007,2,1.0,1.0,$130.00,30,8,100.0
,,49.2644,-123.09873,2,1.0,1.0,$80.00,2,92,98.0
100%,50%,49.25872,-123.12185,2,1.0,1.0,$75.00,30,6,90.0
100%,97%,49.28045,-123.10871,3,2.0,2.0,$100.00,5,193,89.0
80%,64%,49.232,-123.07403,2,1.0,1.0,$79.00,5,128,95.0
100%,100%,49.26688,-123.15873,3,1.0,2.0,$113.00,2,174,96.0
,,49.28287,-123.09425,2,1.0,2.0,$80.00,2,50,93.0
100%,97%,49.27841,-123.10815,3,2.0,2.0,$95.00,30,2,70.0
